sample_id,model_id,franklin_estimation,evergreen_estimation,absolute_savings_difference
0146b1c2c426669822a3f78ed53604e107de2ed8_AMI,0146b1c2c426669822a3f78ed53604e107de2ed8,0.73138406,-5.1634780906,5.8948621506
01475f7a41c002bb85fdc678a61b7abc4be68013_AMI,01475f7a41c002bb85fdc678a61b7abc4be68013,1.247978066,0.5971765115000003,0.6508015544999997
01530ce97c4139845aeccd6b74974135fec9311b_AMI,01530ce97c4139845aeccd6b74974135fec9311b,1.153639449,-2.2950309705,3.4486704195
015be6350122953a5905f8d2535c93b794b4f508_AMI,015be6350122953a5905f8d2535c93b794b4f508,3.507928692,4.1732931794,0.6653644873999998
015f475b5100d68573b00c1b78d004e4bccb05f9_AMI,015f475b5100d68573b00c1b78d004e4bccb05f9,2.059191379,-1.1489641012,3.2081554802000003
0163bb4c51121c9d58478e552c2b1b43324bdaad_AMI,0163bb4c51121c9d58478e552c2b1b43324bdaad,2.815010299,2.69720224,0.11780805899999969
016b3f20fbc301e333ccdf7188ae1c5307cd5d4a_AMI,016b3f20fbc301e333ccdf7188ae1c5307cd5d4a,2.938467042,2.3019350607,0.6365319813000001
016e49da3d60c0b1525df65e024740b026b088c6_AMI,016e49da3d60c0b1525df65e024740b026b088c6,2.367264693,1.2984330874999999,1.0688316055000002
0175effe862f35fb4ee0037125f3c8af195b3e7d_AMI,0175effe862f35fb4ee0037125f3c8af195b3e7d,4.426962654,4.2348299905,0.1921326635000007
01772d4ce9fd5289a0d095d0a68b9dfc0129f65f_AMI,01772d4ce9fd5289a0d095d0a68b9dfc0129f65f,3.605103178,2.8169016614999998,0.7882015165
017ae5b99d4ee06b33f24a21c9dc7a2c90441b5d_AMI,017ae5b99d4ee06b33f24a21c9dc7a2c90441b5d,4.75770268,7.5147548962999995,2.757052216299999
01861ea4a9e1c5cb1dfb70cd6c34232008ea5e0d_AMI,01861ea4a9e1c5cb1dfb70cd6c34232008ea5e0d,2.447616598,2.753567789,0.3059511909999997
